YEAR,MO,DY,HR,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT
2019,4,1,15,65.75,2.21,14.14,10.94,0.06
2019,4,1,16,69.94,1.88,13.38,10.12,0.11
2019,4,1,17,78.25,1.28,12.89,9.11,0.16
2019,4,1,18,87.12,1.44,12.41,8.73,-999.0
2019,4,1,19,90.88,1.11,12.11,8.72,-999.0
2019,4,1,20,92.5,0.63,12.12,9.13,-999.0
2019,4,1,21,94.12,0.18,12.44,9.81,-999.0
2019,4,1,22,94.06,0.07,13.34,10.58,-999.0
2019,4,1,23,94.12,0.12,13.97,11.03,-999.0
2019,4,2,0,94.0,0.13,13.69,10.7,-999.0
2019,4,2,1,94.88,0.14,11.99,9.26,-999.0
2019,4,2,2,95.75,0.16,10.18,7.72,-999.0
2019,4,2,3,97.25,0.17,8.92,6.53,-999.0
2019,4,2,4,98.75,0.17,8.14,5.78,-999.0
2019,4,2,5,99.06,0.16,7.63,5.38,0.3
2019,4,2,6,94.44,0.13,7.92,6.33,0.21
2019,4,2,7,87.38,0.21,9.95,8.08,0.3
2019,4,2,8,78.0,0.32,10.84,8.9,0.27
2019,4,2,9,71.31,0.27,10.93,9.02,0.3
2019,4,2,10,67.06,0.25,10.84,8.94,0.44
2019,4,2,11,63.88,0.3,10.68,8.83,0.42
2019,4,2,12,62.12,0.38,10.67,8.86,0.43
2019,4,2,13,61.94,0.39,10.7,8.89,0.53
2019,4,2,14,62.62,0.23,10.52,8.69,0.45
2019,4,2,15,65.06,0.11,10.09,8.23,0.45
2019,4,2,16,69.69,0.05,9.13,7.28,0.4
2019,4,2,17,79.69,0.01,7.72,5.09,0.3
2019,4,2,18,89.62,0.0,6.97,3.55,-999.0
2019,4,2,19,93.81,0.0,6.1,3.16,-999.0
2019,4,2,20,98.19,0.0,5.75,3.1,-999.0
2019,4,2,21,100.0,0.0,5.59,3.11,-999.0
2019,4,2,22,100.0,0.0,5.47,3.11,-999.0
