datetime,Load,month_sin,month_cos,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,Load_previous_hour,Load_same_hour_previous_day,Load_same_hour_previous_week
2021-08-17 18:00:00+00:00,646.80022,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210294e-16,658.136389,655.737195,567.753011
2021-08-17 19:00:00+00:00,637.775962,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.9659258262890684,0.2588190451025203,646.80022,646.680967,540.427868
2021-08-17 20:00:00+00:00,674.132559,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,637.775962,684.568044,569.976245
2021-08-17 21:00:00+00:00,685.45711,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474,674.132559,696.071487,608.080308
2021-08-17 22:00:00+00:00,658.208335,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,685.45711,671.354984,583.230769
2021-08-17 23:00:00+00:00,628.395616,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.2588190451025215,0.965925826289068,658.208335,641.429362,562.130239
2021-08-18 00:00:00+00:00,602.689692,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.0,1.0,628.395616,612.879998,537.428476
2021-08-18 01:00:00+00:00,571.281747,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.2588190451025207,0.9659258262890684,602.689692,579.301954,577.517872
2021-08-18 02:00:00+00:00,545.19135,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,571.281747,553.411823,552.773527
2021-08-18 03:00:00+00:00,525.887149,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.7071067811865475,0.7071067811865476,545.19135,538.451807,532.469916
2021-08-18 04:00:00+00:00,516.873488,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,525.887149,528.004822,525.781932
2021-08-18 05:00:00+00:00,510.435068,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.9659258262890684,0.2588190451025207,516.873488,521.416927,521.173096
2021-08-18 06:00:00+00:00,496.705268,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,510.435068,514.533577,518.467754
2021-08-18 07:00:00+00:00,496.785046,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.9659258262890684,-0.2588190451025206,496.705268,526.715437,537.56906
